eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,perplexity,seed,schedule,dataset,model,experiment
3.8207056522369385,0.9194,46.772,11.965,2.0,45.636400389330895,2025,ranknet,ag,news_gpt2-medium,ag_news_gpt2-medium_ranknet_s2025
2.357844591140747,0.8187,61.072,15.879,2.0,10.56814820583341,7,ranknet,wikitext,bert-base-uncased,wikitext_bert-base-uncased_ranknet_s7
2.8069143295288086,0.917,47.982,11.995,2.0,16.558744477864355,555,uniform,ag,news_bert-base-uncased,ag_news_bert-base-uncased_uniform_s555
2.0120232105255127,1.0365,48.239,12.542,2.0,7.4784324949384064,123,uniform,wikitext,bert-base-uncased,wikitext_bert-base-uncased_uniform_s123
3.4830031394958496,1.208,35.597,9.106,2.0,32.55734967052281,999,uniform,ag,news_gpt2-medium,ag_news_gpt2-medium_uniform_s999
3.8185184001922607,0.9144,47.025,12.03,2.0,45.53669116362284,99,ranknet,ag,news_gpt2-medium,ag_news_gpt2-medium_ranknet_s99
3.236984968185425,0.7262,60.586,15.146,2.0,25.45685270347613,2025,ranknet,ag,news_bert-base-uncased,ag_news_bert-base-uncased_ranknet_s2025
3.591303586959839,1.1721,36.687,9.385,2.0,36.281340995726715,100,uniform,ag,news_gpt2-medium,ag_news_gpt2-medium_uniform_s100
3.6260015964508057,1.0321,48.446,12.596,2.0,37.56232661773659,123,ranknet,wikitext,gpt2-medium,wikitext_gpt2-medium_ranknet_s123
3.2056822776794434,0.7821,56.262,14.065,2.0,24.672327653700858,7,ranknet,ag,news_bert-base-uncased,ag_news_bert-base-uncased_ranknet_s7
3.863726854324341,0.9402,45.736,11.7,2.0,47.64257786238941,555,ranknet,ag,news_gpt2-medium,ag_news_gpt2-medium_ranknet_s555
3.479551076889038,0.7122,61.784,15.446,2.0,32.445153426794846,2024,ranknet,ag,news_bert-base-uncased,ag_news_bert-base-uncased_ranknet_s2024
3.331833600997925,1.1793,42.398,11.023,2.0,27.98961646882873,123,uniform,wikitext,gpt2-medium,wikitext_gpt2-medium_uniform_s123
2.046760320663452,0.9845,50.785,13.204,2.0,7.742776317708362,7,uniform,wikitext,bert-base-uncased,wikitext_bert-base-uncased_uniform_s7
2.014012098312378,1.0185,49.09,12.764,2.0,7.493321058926166,999,uniform,wikitext,bert-base-uncased,wikitext_bert-base-uncased_uniform_s999
3.6377596855163574,1.159,43.14,11.216,2.0,38.00659455216481,999,ranknet,wikitext,gpt2-medium,wikitext_gpt2-medium_ranknet_s999
3.4507081508636475,1.1082,38.803,9.926,2.0,31.522707239002635,42,uniform,ag,news_gpt2-medium,ag_news_gpt2-medium_uniform_s42
2.230344295501709,0.9478,52.751,13.715,2.0,9.30306853280475,100,uniform,wikitext,bert-base-uncased,wikitext_bert-base-uncased_uniform_s100
3.600790500640869,1.0006,49.972,12.993,2.0,36.627176809432584,777,ranknet,wikitext,gpt2-medium,wikitext_gpt2-medium_ranknet_s777
3.4415383338928223,1.0408,41.315,10.569,2.0,31.234971043521995,123,uniform,ag,news_gpt2-medium,ag_news_gpt2-medium_uniform_s123
3.831918716430664,0.9252,46.479,11.89,2.0,46.1510040264067,42,ranknet,ag,news_gpt2-medium,ag_news_gpt2-medium_ranknet_s42
2.9436097145080566,0.9054,48.597,12.149,2.0,18.98425050264403,2024,uniform,ag,news_bert-base-uncased,ag_news_bert-base-uncased_uniform_s2024
3.8513705730438232,0.9024,47.653,12.19,2.0,47.0575148150034,777,ranknet,ag,news_gpt2-medium,ag_news_gpt2-medium_ranknet_s777
3.6426117420196533,1.008,49.604,12.897,2.0,38.19145280510605,7,ranknet,wikitext,gpt2-medium,wikitext_gpt2-medium_ranknet_s7
2.5502195358276367,0.9394,53.227,13.839,2.0,12.80991570943963,100,ranknet,wikitext,bert-base-uncased,wikitext_bert-base-uncased_ranknet_s100
2.229339361190796,0.8686,57.562,14.966,2.0,9.293724256017928,99,ranknet,wikitext,bert-base-uncased,wikitext_bert-base-uncased_ranknet_s99
3.300722360610962,0.7431,59.215,14.804,2.0,27.13223109853025,99,ranknet,ag,news_bert-base-uncased,ag_news_bert-base-uncased_ranknet_s99
3.318140983581543,1.3627,36.693,9.54,2.0,27.60897727936815,42,uniform,wikitext,gpt2-medium,wikitext_gpt2-medium_uniform_s42
3.725419044494629,0.9741,51.327,13.345,2.0,41.48861467824535,2025,ranknet,wikitext,gpt2-medium,wikitext_gpt2-medium_ranknet_s2025
