module_name,bytes
LoRALinear_126492824841264,205852672
Conv1D_126492821257296,16777216
NewGELUActivation_126492898125600,16777216
Conv1D_126492821257440,16777216
NewGELUActivation_126492824841168,16777216
Conv1D_126492825136800,16777216
NewGELUActivation_126492825133632,16777216
Conv1D_126492821255472,16777216
NewGELUActivation_126492821256624,16777216
Conv1D_126492821255760,16777216
NewGELUActivation_126492821255616,16777216
Conv1D_126492821258112,16777216
NewGELUActivation_126492821249232,16777216
Conv1D_126492821248560,16777216
NewGELUActivation_126492821248896,16777216
Conv1D_126492821254080,16777216
NewGELUActivation_126492821253984,16777216
Conv1D_126492821253360,16777216
NewGELUActivation_126492821253264,16777216
Conv1D_126492821252640,16777216
NewGELUActivation_126492821252544,16777216
Conv1D_126492821251968,16777216
NewGELUActivation_126492821251872,16777216
Conv1D_126492821245776,16777216
NewGELUActivation_126492821248656,16777216
Conv1D_126492821250336,16777216
NewGELUActivation_126492821250480,16777216
Conv1D_126492825329040,16777216
NewGELUActivation_126492824978640,16777216
Conv1D_126492826582816,16777216
NewGELUActivation_126492826579552,16777216
Conv1D_126492821783184,16777216
NewGELUActivation_126492821783280,16777216
Conv1D_126492821783904,16777216
NewGELUActivation_126492821784000,16777216
Conv1D_126492821784624,16777216
NewGELUActivation_126492821784720,16777216
Conv1D_126492821785296,16777216
NewGELUActivation_126492821785392,16777216
Conv1D_126492821786016,16777216
NewGELUActivation_126492821786112,16777216
Conv1D_126492821786736,16777216
NewGELUActivation_126492821786832,16777216
Conv1D_126492821787456,16777216
NewGELUActivation_126492821787552,16777216
Conv1D_126492821788176,16777216
NewGELUActivation_126492821788272,16777216
Conv1D_126492821788896,16777216
NewGELUActivation_126492821788992,16777216
Conv1D_126492826182400,12582912
Conv1D_126492821250720,12582912
Conv1D_126492896109168,12582912
Conv1D_126492825861536,12582912
Conv1D_126492825132768,12582912
Conv1D_126492821256000,12582912
Conv1D_126492821245872,12582912
Conv1D_126492821254416,12582912
Conv1D_126492821253696,12582912
Conv1D_126492821252976,12582912
Conv1D_126492821252256,12582912
Conv1D_126492821251584,12582912
Conv1D_126492821245104,12582912
Conv1D_126492904225920,12582912
Conv1D_126492824983104,12582912
Conv1D_126492821782848,12582912
Conv1D_126492821783568,12582912
Conv1D_126492821784288,12582912
Conv1D_126492821242560,12582912
Conv1D_126492821785680,12582912
Conv1D_126492821786400,12582912
Conv1D_126492821787120,12582912
Conv1D_126492821787840,12582912
Conv1D_126492821788560,12582912
Embedding_126492825682096,4194304
Dropout_126492899728304,4194304
LayerNorm_126492821254656,4194304
Conv1D_126492825682912,4194304
Dropout_126492821257536,4194304
GPT2Attention_126492824692176,4194304
LayerNorm_126492895578544,4194304
Conv1D_126492821257584,4194304
Dropout_126492821258208,4194304
GPT2MLP_126492821251344,4194304
GPT2Block_126492895586320,4194304
LayerNorm_126492821250864,4194304
Conv1D_126492821249760,4194304
Dropout_126492821257728,4194304
GPT2Attention_126492821257104,4194304
LayerNorm_126492821250960,4194304
Conv1D_126492821257392,4194304
Dropout_126492824842464,4194304
GPT2MLP_126492821249568,4194304
GPT2Block_126492821256720,4194304
