feature,predicted_rank
bert.embeddings.word_embeddings,49
cls.predictions.transform.LayerNorm,19
bert.encoder.layer.4.intermediate.dense,18
bert.encoder.layer.6.intermediate.dense,18
bert.encoder.layer.5.intermediate.dense,18
bert.encoder.layer.3.intermediate.dense,18
bert.encoder.layer.2.intermediate.dense,18
bert.encoder.layer.4.output.dense,18
bert.encoder.layer.9.intermediate.dense,18
bert.encoder.layer.3.output.dense,18
bert.encoder.layer.5.output.dense,18
bert.encoder.layer.1.intermediate.dense,18
bert.encoder.layer.11.intermediate.dense,18
bert.encoder.layer.7.intermediate.dense,18
bert.encoder.layer.8.intermediate.dense,18
bert.encoder.layer.9.output.dense,18
bert.encoder.layer.10.intermediate.dense,18
bert.encoder.layer.6.output.dense,18
bert.encoder.layer.2.output.dense,18
bert.encoder.layer.10.output.dense,18
bert.encoder.layer.1.output.dense,18
bert.encoder.layer.7.output.dense,18
bert.encoder.layer.0.intermediate.dense,18
bert.encoder.layer.8.output.dense,18
bert.encoder.layer.0.output.dense,17
bert.encoder.layer.11.output.dense,17
cls.predictions.transform.dense,15
bert.encoder.layer.2.attention.self.query,14
bert.encoder.layer.2.attention.self.key,14
bert.encoder.layer.10.attention.self.query,14
bert.encoder.layer.9.attention.self.key,14
bert.encoder.layer.9.attention.self.query,14
bert.encoder.layer.10.attention.self.key,14
bert.encoder.layer.11.attention.self.query,14
bert.encoder.layer.11.attention.self.key,14
bert.encoder.layer.8.attention.self.key,14
bert.encoder.layer.8.attention.self.query,14
bert.encoder.layer.7.attention.self.key,14
bert.encoder.layer.5.attention.self.query,14
bert.encoder.layer.7.attention.self.query,14
bert.encoder.layer.5.attention.self.key,14
bert.encoder.layer.0.attention.self.query,14
bert.encoder.layer.3.attention.self.query,14
bert.encoder.layer.6.attention.self.query,14
bert.encoder.layer.6.attention.self.key,14
bert.encoder.layer.3.attention.self.key,14
bert.encoder.layer.0.attention.self.key,14
bert.encoder.layer.1.attention.self.query,14
bert.encoder.layer.1.attention.self.key,14
bert.encoder.layer.4.attention.self.query,14
bert.encoder.layer.4.attention.self.key,14
bert.encoder.layer.11.attention.self.value,13
bert.encoder.layer.11.attention.output.dense,13
bert.encoder.layer.10.attention.self.value,13
bert.encoder.layer.8.attention.self.value,13
bert.encoder.layer.5.attention.self.value,13
bert.encoder.layer.4.attention.self.value,13
bert.encoder.layer.0.attention.output.LayerNorm,13
bert.encoder.layer.9.attention.self.value,13
bert.encoder.layer.6.attention.self.value,13
bert.encoder.layer.8.attention.output.dense,12
bert.encoder.layer.10.attention.output.dense,12
bert.encoder.layer.5.attention.output.dense,12
bert.encoder.layer.7.attention.self.value,12
bert.encoder.layer.9.attention.output.dense,12
bert.encoder.layer.4.attention.output.dense,12
bert.encoder.layer.6.attention.output.dense,12
bert.encoder.layer.1.attention.output.LayerNorm,12
bert.encoder.layer.7.attention.output.dense,12
bert.encoder.layer.1.output.LayerNorm,12
bert.encoder.layer.3.attention.output.LayerNorm,12
bert.encoder.layer.2.attention.output.LayerNorm,12
bert.encoder.layer.3.attention.self.value,12
bert.embeddings.LayerNorm,12
bert.encoder.layer.11.attention.output.LayerNorm,12
bert.encoder.layer.5.attention.output.LayerNorm,12
bert.encoder.layer.2.output.LayerNorm,12
bert.encoder.layer.10.attention.output.LayerNorm,12
bert.encoder.layer.4.attention.output.LayerNorm,12
bert.encoder.layer.8.attention.output.LayerNorm,12
bert.encoder.layer.4.output.LayerNorm,12
bert.encoder.layer.6.attention.output.LayerNorm,12
bert.encoder.layer.6.output.LayerNorm,12
bert.encoder.layer.5.output.LayerNorm,12
bert.encoder.layer.8.output.LayerNorm,12
bert.encoder.layer.7.attention.output.LayerNorm,12
bert.encoder.layer.9.attention.output.LayerNorm,12
bert.encoder.layer.10.output.LayerNorm,12
bert.encoder.layer.3.output.LayerNorm,12
bert.encoder.layer.7.output.LayerNorm,12
bert.encoder.layer.3.attention.output.dense,12
bert.encoder.layer.9.output.LayerNorm,12
bert.encoder.layer.0.attention.self.value,12
bert.encoder.layer.0.attention.output.dense,12
bert.encoder.layer.1.attention.self.value,12
bert.encoder.layer.1.attention.output.dense,12
bert.encoder.layer.2.attention.self.value,12
bert.encoder.layer.0.output.LayerNorm,12
bert.encoder.layer.2.attention.output.dense,12
bert.encoder.layer.11.output.LayerNorm,11
bert.embeddings.position_embeddings,10
bert.embeddings.token_type_embeddings,9
