feature,predicted_rank
bert.embeddings.word_embeddings,38
cls.predictions.transform.LayerNorm,0
bert.encoder.layer.4.intermediate.dense,42
bert.encoder.layer.6.intermediate.dense,43
bert.encoder.layer.5.intermediate.dense,44
bert.encoder.layer.3.intermediate.dense,45
bert.encoder.layer.2.intermediate.dense,47
bert.encoder.layer.4.output.dense,50
bert.encoder.layer.9.intermediate.dense,53
bert.encoder.layer.3.output.dense,56
bert.encoder.layer.5.output.dense,61
bert.encoder.layer.1.intermediate.dense,74
bert.encoder.layer.11.intermediate.dense,230
bert.encoder.layer.7.intermediate.dense,82
bert.encoder.layer.8.intermediate.dense,94
bert.encoder.layer.9.output.dense,108
bert.encoder.layer.10.intermediate.dense,125
bert.encoder.layer.6.output.dense,147
bert.encoder.layer.2.output.dense,174
bert.encoder.layer.10.output.dense,208
bert.encoder.layer.1.output.dense,222
bert.encoder.layer.7.output.dense,220
bert.encoder.layer.0.intermediate.dense,219
bert.encoder.layer.8.output.dense,41
bert.encoder.layer.0.output.dense,41
bert.encoder.layer.11.output.dense,40
cls.predictions.bias,40
cls.predictions.transform.dense,38
bert.encoder.layer.2.attention.self.query,38
bert.encoder.layer.2.attention.self.key,38
bert.encoder.layer.10.attention.self.query,38
bert.encoder.layer.9.attention.self.key,38
bert.encoder.layer.9.attention.self.query,38
bert.encoder.layer.10.attention.self.key,38
bert.encoder.layer.11.attention.self.query,38
bert.encoder.layer.11.attention.self.key,38
bert.encoder.layer.8.attention.self.key,38
bert.encoder.layer.8.attention.self.query,38
bert.encoder.layer.7.attention.self.key,38
bert.encoder.layer.5.attention.self.query,38
bert.encoder.layer.7.attention.self.query,38
bert.encoder.layer.5.attention.self.key,38
bert.encoder.layer.0.attention.self.query,38
bert.encoder.layer.3.attention.self.query,38
bert.encoder.layer.6.attention.self.query,38
bert.encoder.layer.6.attention.self.key,39
bert.encoder.layer.3.attention.self.key,39
bert.encoder.layer.0.attention.self.key,39
bert.encoder.layer.1.attention.self.query,66
bert.encoder.layer.1.attention.self.key,124
bert.encoder.layer.4.attention.self.query,123
bert.encoder.layer.4.attention.self.key,122
bert.encoder.layer.11.attention.self.value,115
bert.encoder.layer.11.attention.output.dense,108
bert.encoder.layer.10.attention.self.value,104
bert.encoder.layer.8.attention.self.value,103
bert.encoder.layer.5.attention.self.value,102
bert.encoder.layer.4.attention.self.value,102
bert.encoder.layer.0.attention.output.LayerNorm,0
bert.encoder.layer.9.attention.self.value,101
bert.encoder.layer.6.attention.self.value,99
bert.encoder.layer.8.attention.output.dense,98
bert.encoder.layer.10.attention.output.dense,97
bert.encoder.layer.5.attention.output.dense,97
bert.encoder.layer.7.attention.self.value,96
bert.encoder.layer.9.attention.output.dense,96
bert.encoder.layer.4.attention.output.dense,95
bert.encoder.layer.6.attention.output.dense,94
bert.encoder.layer.1.attention.output.LayerNorm,0
bert.encoder.layer.7.attention.output.dense,93
bert.encoder.layer.1.output.LayerNorm,0
bert.encoder.layer.3.attention.output.LayerNorm,0
bert.encoder.layer.2.attention.output.LayerNorm,0
