feature,predicted_rank
bert.embeddings.word_embeddings,246.93310546875
cls.predictions.transform.LayerNorm,64.68763732910156
bert.encoder.layer.4.intermediate.dense,62.59813690185547
bert.encoder.layer.6.intermediate.dense,62.591983795166016
bert.encoder.layer.5.intermediate.dense,62.27672958374024
bert.encoder.layer.3.intermediate.dense,62.13155746459961
bert.encoder.layer.2.intermediate.dense,61.25055694580078
bert.encoder.layer.4.output.dense,61.22100830078125
bert.encoder.layer.9.intermediate.dense,60.95551300048828
bert.encoder.layer.3.output.dense,60.37053680419922
bert.encoder.layer.5.output.dense,60.35221481323242
bert.encoder.layer.1.intermediate.dense,60.247802734375
bert.encoder.layer.11.intermediate.dense,60.18053817749024
bert.encoder.layer.7.intermediate.dense,60.07047653198242
bert.encoder.layer.8.intermediate.dense,59.91748809814453
bert.encoder.layer.9.output.dense,59.880149841308594
bert.encoder.layer.10.intermediate.dense,59.81565475463867
bert.encoder.layer.6.output.dense,59.57667922973633
bert.encoder.layer.2.output.dense,58.7676010131836
bert.encoder.layer.10.output.dense,58.24612808227539
bert.encoder.layer.1.output.dense,58.1562614440918
bert.encoder.layer.7.output.dense,57.59850692749024
bert.encoder.layer.0.intermediate.dense,57.47724914550781
bert.encoder.layer.8.output.dense,57.362884521484375
bert.encoder.layer.0.output.dense,55.059326171875
bert.encoder.layer.11.output.dense,55.030521392822266
cls.predictions.bias,50.874393463134766
cls.predictions.transform.dense,39.10955810546875
bert.encoder.layer.2.attention.self.query,36.66745376586914
bert.encoder.layer.2.attention.self.key,35.83701705932617
bert.encoder.layer.10.attention.self.query,35.311798095703125
bert.encoder.layer.9.attention.self.key,35.26938247680664
bert.encoder.layer.9.attention.self.query,35.24626159667969
bert.encoder.layer.10.attention.self.key,35.115875244140625
bert.encoder.layer.11.attention.self.query,34.947784423828125
bert.encoder.layer.11.attention.self.key,34.171024322509766
bert.encoder.layer.8.attention.self.key,33.89277267456055
bert.encoder.layer.8.attention.self.query,33.80743408203125
bert.encoder.layer.7.attention.self.key,33.400028228759766
bert.encoder.layer.5.attention.self.query,33.30963516235352
bert.encoder.layer.7.attention.self.query,33.29866027832031
bert.encoder.layer.5.attention.self.key,33.28827667236328
bert.encoder.layer.0.attention.self.query,33.11556625366211
bert.encoder.layer.3.attention.self.query,33.03079605102539
bert.encoder.layer.6.attention.self.query,33.00774002075195
bert.encoder.layer.6.attention.self.key,32.989585876464844
bert.encoder.layer.3.attention.self.key,32.89395904541016
bert.encoder.layer.0.attention.self.key,32.86164855957031
bert.encoder.layer.1.attention.self.query,32.6655387878418
bert.encoder.layer.1.attention.self.key,32.659034729003906
bert.encoder.layer.4.attention.self.query,32.31777572631836
bert.encoder.layer.4.attention.self.key,32.130130767822266
bert.encoder.layer.11.attention.self.value,30.11368560791016
bert.encoder.layer.11.attention.output.dense,28.241111755371094
bert.encoder.layer.10.attention.self.value,27.332210540771484
bert.encoder.layer.8.attention.self.value,27.191837310791016
bert.encoder.layer.5.attention.self.value,26.820396423339844
bert.encoder.layer.4.attention.self.value,26.80857276916504
bert.encoder.layer.0.attention.output.LayerNorm,26.66259384155273
bert.encoder.layer.9.attention.self.value,26.4910945892334
bert.encoder.layer.6.attention.self.value,26.14455986022949
bert.encoder.layer.8.attention.output.dense,25.772321701049805
bert.encoder.layer.10.attention.output.dense,25.615053176879883
bert.encoder.layer.5.attention.output.dense,25.46074104309082
bert.encoder.layer.7.attention.self.value,25.27279663085937
bert.encoder.layer.9.attention.output.dense,25.113025665283203
bert.encoder.layer.4.attention.output.dense,24.973072052001957
bert.encoder.layer.6.attention.output.dense,24.74588966369629
bert.encoder.layer.1.attention.output.LayerNorm,24.38959312438965
bert.encoder.layer.7.attention.output.dense,24.33732032775879
bert.encoder.layer.1.output.LayerNorm,24.17284202575684
bert.encoder.layer.3.attention.output.LayerNorm,24.13139533996582
bert.encoder.layer.2.attention.output.LayerNorm,24.128660202026367
bert.encoder.layer.3.attention.self.value,23.935077667236328
bert.embeddings.LayerNorm,23.827449798583984
bert.encoder.layer.11.attention.output.LayerNorm,23.686498641967773
bert.encoder.layer.5.attention.output.LayerNorm,23.661561965942383
bert.encoder.layer.2.output.LayerNorm,23.637290954589844
bert.encoder.layer.10.attention.output.LayerNorm,23.584815979003903
bert.encoder.layer.4.attention.output.LayerNorm,23.493322372436523
bert.encoder.layer.8.attention.output.LayerNorm,23.36389923095703
bert.encoder.layer.4.output.LayerNorm,23.303789138793945
bert.encoder.layer.6.attention.output.LayerNorm,23.127716064453125
bert.encoder.layer.6.output.LayerNorm,23.12425422668457
bert.encoder.layer.5.output.LayerNorm,23.0863094329834
bert.encoder.layer.8.output.LayerNorm,23.060470581054688
bert.encoder.layer.7.attention.output.LayerNorm,22.97003936767578
bert.encoder.layer.9.attention.output.LayerNorm,22.756671905517575
bert.encoder.layer.10.output.LayerNorm,22.713991165161133
bert.encoder.layer.3.output.LayerNorm,22.510459899902344
bert.encoder.layer.7.output.LayerNorm,22.47668838500977
bert.encoder.layer.3.attention.output.dense,22.31797409057617
bert.encoder.layer.9.output.LayerNorm,22.24734687805176
bert.encoder.layer.0.attention.self.value,22.12666320800781
