feature,predicted_rank
transformer.h.23.mlp.c_proj,-748
transformer.h.22.mlp.c_proj,46
transformer.h.0.attn.c_attn,29
transformer.h.21.mlp.c_proj,43
transformer.h.20.mlp.c_proj,41
transformer.h.19.mlp.c_proj,40
transformer.h.18.mlp.c_proj,38
transformer.h.17.mlp.c_proj,36
transformer.h.16.mlp.c_proj,35
transformer.h.15.mlp.c_proj,33
transformer.h.3.mlp.c_fc,29
transformer.h.4.mlp.c_fc,29
transformer.h.23.mlp.c_fc,34
transformer.h.5.mlp.c_fc,29
transformer.h.2.mlp.c_fc,28
transformer.h.6.mlp.c_fc,29
transformer.h.22.mlp.c_fc,33
transformer.h.1.mlp.c_fc,28
transformer.h.7.mlp.c_fc,29
transformer.h.21.mlp.c_fc,33
transformer.h.8.mlp.c_fc,30
transformer.h.20.mlp.c_fc,33
transformer.h.4.attn.c_attn,23
transformer.h.19.mlp.c_fc,32
transformer.h.14.mlp.c_proj,31
transformer.h.18.mlp.c_fc,32
transformer.h.3.attn.c_attn,23
transformer.h.17.mlp.c_fc,32
transformer.h.9.mlp.c_fc,30
transformer.h.16.mlp.c_fc,31
transformer.h.11.mlp.c_fc,30
transformer.h.15.mlp.c_fc,31
transformer.h.13.mlp.c_fc,31
transformer.h.14.mlp.c_fc,31
transformer.h.10.mlp.c_fc,30
transformer.h.12.mlp.c_fc,30
transformer.h.5.attn.c_attn,23
transformer.h.0.mlp.c_fc,27
transformer.h.13.mlp.c_proj,29
transformer.h.2.attn.c_attn,21
transformer.h.12.mlp.c_proj,28
transformer.h.6.attn.c_attn,22
transformer.h.11.mlp.c_proj,28
transformer.h.13.attn.c_attn,22
transformer.h.8.attn.c_attn,22
transformer.h.10.attn.c_attn,22
transformer.h.23.attn.c_attn,24
transformer.h.7.attn.c_attn,21
transformer.h.12.attn.c_attn,22
transformer.h.10.mlp.c_proj,27
transformer.h.22.attn.c_attn,24
transformer.h.21.attn.c_attn,23
transformer.h.18.attn.c_attn,23
transformer.h.16.attn.c_attn,23
transformer.h.9.attn.c_attn,21
transformer.h.14.attn.c_attn,22
transformer.h.17.attn.c_attn,23
transformer.h.20.attn.c_attn,23
transformer.h.19.attn.c_attn,23
transformer.h.11.attn.c_attn,22
transformer.h.15.attn.c_attn,22
transformer.h.9.mlp.c_proj,26
transformer.h.7.mlp.c_proj,25
transformer.h.1.attn.c_attn,19
transformer.h.4.mlp.c_proj,24
transformer.h.3.mlp.c_proj,24
transformer.h.5.mlp.c_proj,24
transformer.h.6.mlp.c_proj,24
transformer.h.8.mlp.c_proj,24
transformer.h.0.mlp.c_proj,23
transformer.h.2.mlp.c_proj,23
transformer.h.1.mlp.c_proj,22
transformer.h.23.attn.c_proj,19
transformer.h.22.attn.c_proj,18
transformer.h.21.attn.c_proj,17
transformer.h.20.attn.c_proj,16
transformer.h.19.attn.c_proj,16
transformer.h.18.attn.c_proj,15
transformer.h.17.attn.c_proj,14
transformer.h.16.attn.c_proj,14
transformer.h.15.attn.c_proj,14
transformer.h.9.attn.c_proj,13
transformer.h.11.attn.c_proj,13
transformer.h.10.attn.c_proj,13
transformer.h.12.attn.c_proj,13
transformer.h.14.attn.c_proj,13
transformer.h.13.attn.c_proj,13
transformer.h.1.attn.c_proj,12
transformer.h.8.attn.c_proj,12
transformer.h.7.attn.c_proj,12
transformer.h.6.attn.c_proj,11
transformer.h.5.attn.c_proj,11
transformer.h.2.attn.c_proj,10
transformer.h.4.attn.c_proj,10
transformer.h.3.attn.c_proj,10
transformer.h.0.attn.c_proj,8
