feature,predicted_rank
transformer.wte.weight,1
transformer.h.23.mlp.c_proj.weight,71
transformer.h.22.mlp.c_proj.weight,64
transformer.h.0.attn.c_attn.weight,311
transformer.h.21.mlp.c_proj.weight,59
transformer.h.20.mlp.c_proj.weight,55
transformer.h.19.mlp.c_proj.weight,52
transformer.h.18.mlp.c_proj.weight,49
transformer.h.17.mlp.c_proj.weight,47
transformer.h.16.mlp.c_proj.weight,45
transformer.h.15.mlp.c_proj.weight,44
transformer.h.3.mlp.c_fc.weight,42
transformer.h.4.mlp.c_fc.weight,44
transformer.h.23.mlp.c_fc.weight,45
transformer.h.5.mlp.c_fc.weight,42
transformer.h.2.mlp.c_fc.weight,41
transformer.h.6.mlp.c_fc.weight,38
transformer.h.22.mlp.c_fc.weight,38
transformer.h.1.mlp.c_fc.weight,43
transformer.h.7.mlp.c_fc.weight,38
transformer.h.21.mlp.c_fc.weight,38
transformer.h.8.mlp.c_fc.weight,38
transformer.h.20.mlp.c_fc.weight,38
transformer.h.4.attn.c_attn.weight,224
transformer.h.19.mlp.c_fc.weight,38
transformer.h.14.mlp.c_proj.weight,38
transformer.h.18.mlp.c_fc.weight,38
transformer.h.3.attn.c_attn.weight,204
transformer.h.17.mlp.c_fc.weight,38
transformer.h.9.mlp.c_fc.weight,38
transformer.h.16.mlp.c_fc.weight,38
transformer.h.11.mlp.c_fc.weight,38
transformer.h.15.mlp.c_fc.weight,38
transformer.h.13.mlp.c_fc.weight,38
transformer.h.14.mlp.c_fc.weight,38
transformer.h.10.mlp.c_fc.weight,38
transformer.h.12.mlp.c_fc.weight,40
transformer.h.5.attn.c_attn.weight,219
transformer.h.0.mlp.c_fc.weight,40
transformer.h.13.mlp.c_proj.weight,40
transformer.h.2.attn.c_attn.weight,212
transformer.h.12.mlp.c_proj.weight,39
transformer.h.6.attn.c_attn.weight,205
transformer.h.11.mlp.c_proj.weight,38
transformer.h.13.attn.c_attn.weight,201
transformer.h.8.attn.c_attn.weight,201
transformer.h.10.attn.c_attn.weight,200
transformer.h.23.attn.c_attn.weight,200
transformer.h.7.attn.c_attn.weight,199
transformer.h.12.attn.c_attn.weight,198
transformer.h.10.mlp.c_proj.weight,38
transformer.h.22.attn.c_attn.weight,112
transformer.h.21.attn.c_attn.weight,99
transformer.h.18.attn.c_attn.weight,173
transformer.h.16.attn.c_attn.weight,127
transformer.h.9.attn.c_attn.weight,147
transformer.h.14.attn.c_attn.weight,89
transformer.h.17.attn.c_attn.weight,196
transformer.h.20.attn.c_attn.weight,196
transformer.h.19.attn.c_attn.weight,195
transformer.h.11.attn.c_attn.weight,195
transformer.h.15.attn.c_attn.weight,194
transformer.h.9.mlp.c_proj.weight,38
transformer.h.7.mlp.c_proj.weight,38
transformer.h.1.attn.c_attn.weight,187
transformer.h.4.mlp.c_proj.weight,38
transformer.h.3.mlp.c_proj.weight,38
transformer.h.5.mlp.c_proj.weight,38
transformer.h.6.mlp.c_proj.weight,38
transformer.h.8.mlp.c_proj.weight,38
transformer.h.0.mlp.c_proj.weight,38
transformer.h.2.mlp.c_proj.weight,39
transformer.h.1.mlp.c_proj.weight,39
transformer.h.23.attn.c_proj.weight,152
transformer.h.22.attn.c_proj.weight,139
transformer.h.21.attn.c_proj.weight,129
transformer.h.20.attn.c_proj.weight,123
transformer.h.19.attn.c_proj.weight,120
transformer.h.18.attn.c_proj.weight,113
transformer.h.17.attn.c_proj.weight,110
transformer.h.16.attn.c_proj.weight,108
transformer.h.15.attn.c_proj.weight,104
transformer.h.9.attn.c_proj.weight,102
transformer.h.11.attn.c_proj.weight,102
transformer.h.10.attn.c_proj.weight,102
