feature,predicted_rank
transformer.wte,827.599853515625
transformer.h.23.mlp.c_proj,317.3261108398437
transformer.h.22.mlp.c_proj,307.2313232421875
transformer.h.0.attn.c_attn,297.4444580078125
transformer.h.21.mlp.c_proj,290.1541748046875
transformer.h.20.mlp.c_proj,279.9152526855469
transformer.h.19.mlp.c_proj,268.9886779785156
transformer.h.18.mlp.c_proj,257.5430908203125
transformer.h.17.mlp.c_proj,247.40614318847656
transformer.h.16.mlp.c_proj,238.58248901367188
transformer.h.15.mlp.c_proj,225.75282287597656
transformer.h.3.mlp.c_fc,223.07037353515625
transformer.h.4.mlp.c_fc,222.54188537597656
transformer.h.23.mlp.c_fc,222.21456909179688
transformer.h.5.mlp.c_fc,219.28952026367188
transformer.h.2.mlp.c_fc,218.2630615234375
transformer.h.6.mlp.c_fc,217.6952667236328
transformer.h.22.mlp.c_fc,217.1840362548828
transformer.h.1.mlp.c_fc,216.45957946777344
transformer.h.7.mlp.c_fc,215.9720764160156
transformer.h.21.mlp.c_fc,215.41558837890625
transformer.h.8.mlp.c_fc,215.2852783203125
transformer.h.20.mlp.c_fc,215.26255798339844
transformer.h.4.attn.c_attn,214.7723846435547
transformer.h.19.mlp.c_fc,214.5819396972656
transformer.h.14.mlp.c_proj,214.47817993164065
transformer.h.18.mlp.c_fc,214.35943603515625
transformer.h.3.attn.c_attn,214.18246459960935
transformer.h.17.mlp.c_fc,214.08177185058597
transformer.h.9.mlp.c_fc,213.96063232421875
transformer.h.16.mlp.c_fc,213.52828979492188
transformer.h.11.mlp.c_fc,213.2709503173828
transformer.h.15.mlp.c_fc,213.26046752929688
transformer.h.13.mlp.c_fc,213.0683441162109
transformer.h.14.mlp.c_fc,213.0206451416016
transformer.h.10.mlp.c_fc,212.5710601806641
transformer.h.12.mlp.c_fc,212.24273681640625
transformer.h.5.attn.c_attn,209.8182830810547
transformer.h.0.mlp.c_fc,208.87420654296875
transformer.h.13.mlp.c_proj,203.173583984375
transformer.h.2.attn.c_attn,203.16212463378903
transformer.h.12.mlp.c_proj,197.18186950683597
transformer.h.6.attn.c_attn,196.33071899414065
transformer.h.11.mlp.c_proj,193.55958557128903
transformer.h.13.attn.c_attn,192.2344207763672
transformer.h.8.attn.c_attn,192.08279418945312
transformer.h.10.attn.c_attn,191.5196685791016
transformer.h.23.attn.c_attn,191.47010803222656
transformer.h.7.attn.c_attn,190.68365478515625
transformer.h.12.attn.c_attn,189.6480255126953
transformer.h.10.mlp.c_proj,189.4678649902344
transformer.h.22.attn.c_attn,189.21717834472656
transformer.h.21.attn.c_attn,188.9305419921875
transformer.h.18.attn.c_attn,188.48594665527344
transformer.h.16.attn.c_attn,188.48248291015625
transformer.h.9.attn.c_attn,187.7657623291016
transformer.h.14.attn.c_attn,187.5892333984375
transformer.h.17.attn.c_attn,187.4020233154297
transformer.h.20.attn.c_attn,187.2751007080078
transformer.h.19.attn.c_attn,186.9502716064453
transformer.h.11.attn.c_attn,186.3360137939453
transformer.h.15.attn.c_attn,185.9801025390625
transformer.h.9.mlp.c_proj,185.68048095703125
transformer.h.7.mlp.c_proj,181.1420440673828
transformer.h.1.attn.c_attn,179.03289794921875
transformer.h.4.mlp.c_proj,174.82028198242188
transformer.h.3.mlp.c_proj,174.5069122314453
transformer.h.5.mlp.c_proj,174.13719177246094
transformer.h.6.mlp.c_proj,172.9416961669922
transformer.h.8.mlp.c_proj,172.095947265625
transformer.h.0.mlp.c_proj,170.6263427734375
transformer.h.2.mlp.c_proj,167.3543243408203
transformer.h.1.mlp.c_proj,162.0653839111328
transformer.h.23.attn.c_proj,145.2258758544922
transformer.h.22.attn.c_proj,132.94363403320312
transformer.h.21.attn.c_proj,123.42251586914062
transformer.h.20.attn.c_proj,117.712646484375
transformer.h.19.attn.c_proj,115.45767211914062
transformer.h.18.attn.c_proj,108.12077331542967
transformer.h.17.attn.c_proj,105.3840103149414
transformer.h.16.attn.c_proj,103.45560455322266
transformer.h.15.attn.c_proj,100.06753540039062
transformer.h.9.attn.c_proj,98.26117706298828
transformer.h.11.attn.c_proj,97.90275573730467
transformer.h.10.attn.c_proj,97.66993713378906
transformer.h.12.attn.c_proj,96.67057800292967
transformer.h.14.attn.c_proj,95.57432556152344
transformer.h.13.attn.c_proj,94.9461898803711
transformer.h.1.attn.c_proj,92.19822692871094
transformer.h.8.attn.c_proj,91.8639678955078
transformer.h.7.attn.c_proj,87.73995971679688
transformer.h.6.attn.c_proj,84.05176544189453
transformer.h.5.attn.c_proj,78.50237274169922
transformer.h.2.attn.c_proj,72.46552276611328
transformer.h.4.attn.c_proj,72.3121566772461
transformer.h.3.attn.c_proj,69.99073791503906
transformer.ln_f,66.0303955078125
transformer.h.0.attn.c_proj,43.04109954833984
transformer.wpe,38.45013046264648
transformer.h.23.ln_1,22.77936553955078
transformer.h.23.ln_2,21.836332321166992
transformer.h.22.ln_1,19.536237716674805
transformer.h.9.ln_1,18.02347755432129
transformer.h.22.ln_2,17.990758895874023
transformer.h.6.ln_1,17.19872283935547
transformer.h.21.ln_1,17.186098098754883
transformer.h.7.ln_1,16.836729049682617
transformer.h.4.ln_2,16.410402297973633
transformer.h.3.ln_2,16.290306091308594
transformer.h.10.ln_1,16.123985290527344
transformer.h.11.ln_1,15.938145637512209
transformer.h.12.ln_1,15.86418342590332
transformer.h.20.ln_1,15.834307670593262
transformer.h.5.ln_2,15.6976900100708
transformer.h.8.ln_1,15.633163452148438
transformer.h.6.ln_2,15.580180168151855
transformer.h.7.ln_2,15.578904151916504
